trip_id,start_time,end_time,headway_secs
1034D2I,7:15:00,8:00:00,2700
1034D2I,8:00:00,8:49:00,1470
1034D2I,8:49:00,23:00:00,821
1034D2I,23:00:00,23:50:00,3000
1034D2I,23:50:00,24:40:00,3000
1034D2I,24:40:00,25:30:00,3000
1034D2V,6:50:00,7:35:00,2700
1034D2V,7:35:00,8:23:00,1440
1034D2V,8:23:00,22:35:00,837
1034D2V,22:35:00,23:25:00,3000
1034D2V,23:25:00,24:15:00,3000
1034D2V,24:15:00,25:05:00,3000
1034D0I,5:55:00,6:25:00,1800
1034D0I,6:25:00,8:08:00,773
1034D0I,8:08:00,20:59:00,487
1034D0I,20:59:00,22:15:00,640
1034D0I,22:15:00,23:00:00,2700
1034D0I,23:00:00,23:50:00,3000
1034D0I,23:50:00,24:40:00,3000
1034D0I,24:40:00,25:30:00,3000
1034D0V,5:30:00,6:00:00,1800
1034D0V,6:00:00,7:56:00,773
1034D0V,7:56:00,8:05:00,1080
1034D0V,8:05:00,8:13:00,240
1034D0V,8:13:00,8:28:00,900
1034D0V,8:28:00,8:35:00,420
1034D0V,8:35:00,21:04:00,494
1034D0V,21:04:00,22:15:00,710
1034D0V,22:15:00,22:35:00,1200
1034D0V,22:35:00,23:25:00,3000
1034D0V,23:25:00,24:15:00,3000
1034D0V,24:15:00,25:05:00,3000
1034D1I,5:55:00,6:42:00,2820
1034D1I,6:42:00,7:54:00,2160
1034D1I,7:54:00,8:30:00,1080
1034D1I,8:30:00,23:00:00,715
1034D1I,23:00:00,27:10:00,1500
1034D1V,5:30:00,6:17:00,2820
1034D1V,6:17:00,7:27:00,2100
1034D1V,7:27:00,8:03:00,1080
1034D1V,8:03:00,9:15:00,864
1034D1V,9:15:00,9:26:00,1320
1034D1V,9:26:00,9:37:00,660
1034D1V,9:37:00,23:00:00,730
1034D1V,23:00:00,26:45:00,1500
1016D2I,7:40:00,8:20:00,2400
1016D2I,8:20:00,12:56:00,1380
1016D2I,12:56:00,22:05:00,1063
1016D2I,22:05:00,22:30:00,1500
1016D2V,7:40:00,8:20:00,2400
1016D2V,8:20:00,12:56:00,1380
1016D2V,12:56:00,22:05:00,1063
1016D2V,22:05:00,22:30:00,1500
1016D0I,6:30:00,6:48:00,1080
1016D0I,6:48:00,7:32:00,880
1016D0I,7:32:00,8:00:00,840
1016D0I,8:00:00,8:08:00,1020
1016D0I,8:08:00,8:17:00,540
1016D0I,8:17:00,8:33:00,960
1016D0I,8:33:00,8:42:00,1020
1016D0I,8:42:00,8:51:00,540
1016D0I,8:51:00,14:41:00,488
1016D0I,14:41:00,21:50:00,677
1016D0I,21:50:00,22:20:00,900
1016D0V,6:30:00,6:48:00,1080
1016D0V,6:48:00,7:32:00,880
1016D0V,7:32:00,8:00:00,840
1016D0V,8:00:00,8:08:00,1020
1016D0V,8:08:00,8:17:00,540
1016D0V,8:17:00,8:33:00,960
1016D0V,8:33:00,8:42:00,1020
1016D0V,8:42:00,8:51:00,540
1016D0V,8:51:00,14:41:00,488
1016D0V,14:41:00,21:50:00,677
1016D0V,21:50:00,22:20:00,900
1016D1I,7:00:00,7:47:00,2820
1016D1I,7:47:00,8:33:00,1380
1016D1I,8:33:00,11:23:00,1133
1016D1I,11:23:00,11:39:00,1860
1016D1I,11:39:00,11:55:00,960
1016D1I,11:55:00,22:25:00,971
1016D1V,7:00:00,7:47:00,2820
1016D1V,7:47:00,8:33:00,1380
1016D1V,8:33:00,11:23:00,1133
1016D1V,11:23:00,11:39:00,1860
1016D1V,11:39:00,11:55:00,960
1016D1V,11:55:00,22:25:00,971
1017D2I,7:11:00,8:06:00,3300
1017D2I,8:06:00,22:25:00,921
1017D2I,22:25:00,23:20:00,3300
1017D2I,23:20:00,24:25:00,3900
1017D2I,24:25:00,25:30:00,3900
1017D2V,6:45:00,7:40:00,3300
1017D2V,7:40:00,9:41:00,1037
1017D2V,9:41:00,9:54:00,1500
1017D2V,9:54:00,10:07:00,780
1017D2V,10:07:00,22:50:00,950
1017D2V,22:50:00,23:55:00,3900
1017D2V,23:55:00,25:00:00,3900
1017D0I,6:18:00,6:50:00,1920
1017D0I,6:50:00,7:34:00,1320
1017D0I,7:34:00,21:45:00,601
1017D0I,21:45:00,22:15:00,900
1017D0I,22:15:00,23:20:00,3900
1017D0I,23:20:00,24:25:00,3900
1017D0I,24:25:00,25:30:00,3900
1017D0V,5:50:00,6:20:00,1800
1017D0V,6:20:00,7:00:00,1200
1017D0V,7:00:00,7:59:00,708
1017D0V,7:59:00,8:08:00,1080
1017D0V,8:08:00,8:16:00,480
1017D0V,8:16:00,8:51:00,700
1017D0V,8:51:00,9:00:00,1020
1017D0V,9:00:00,9:09:00,540
1017D0V,9:09:00,19:27:00,589
1017D0V,19:27:00,19:37:00,1200
1017D0V,19:37:00,19:47:00,600
1017D0V,19:47:00,21:13:00,737
1017D0V,21:13:00,22:50:00,1005
1017D0V,22:50:00,23:55:00,3900
1017D0V,23:55:00,25:00:00,3900
1017D1I,6:31:00,7:01:00,1800
1017D1I,7:01:00,8:45:00,1560
1017D1I,8:45:00,23:20:00,847
1017D1I,23:20:00,27:05:00,1950
1017D1V,6:05:00,6:35:00,1800
1017D1V,6:35:00,8:15:00,1500
1017D1V,8:15:00,9:26:00,1065
1017D1V,9:26:00,9:39:00,1620
1017D1V,9:39:00,9:52:00,780
1017D1V,9:52:00,16:37:00,900
1017D1V,16:37:00,16:49:00,1440
1017D1V,16:49:00,17:01:00,720
1017D1V,17:01:00,22:50:00,805
1017D1V,22:50:00,27:10:00,1929
1005D2I,6:35:00,7:45:00,4200
1005D2I,7:45:00,8:12:00,1620
1005D2I,8:12:00,22:20:00,1158
1005D2V,7:10:00,8:00:00,3000
1005D2V,8:00:00,22:15:00,1165
1005D0I,5:30:00,6:00:00,1800
1005D0I,6:00:00,6:51:00,1020
