stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
10,10,Mediterrani,,4372035.552,729833.633,,,0,
1007,1007,Jesús Morante Borràs (I),,4370191.644,728412.949,,,0,
1008,1008,Jesús Morante Borràs (II),,4370024.014,728501.132,,,0,
1009,1009,Jesús Morante Borràs (III),,4369850.044,728544.098,,,0,
1010,1010,Jesús Morante Borrás (IV),,4369433.021,728559.953,,,0,
1012,1012,Jesús Morante Borrás (VI),,4369122.986,728596.101,,,0,
1013,1013,Jesús Morante Borrás (VII),,4369437.334,728587.259,,,0,
1014,1014,Jesús Morante Borràs (VIII),,4369849.163,728558.236,,,0,
1015,1015,Jesús Morante Borràs (IX),,4370012.419,728517.589,,,0,
1016,1016,Jesús Morante Borràs (X),,4370191.721,728427.361,,,0,
1020,1020,Albereda,,4372694.493,726668.229,,,0,
1021,1021,Pla del Real,,4372960.453,726489.285,,,0,
1026,1026,Ribàs (imparell) - Ador,,4368090.933,727158.752,,,0,
1027,1027,Principal - El Caroig,,4368085.738,726986.867,,,0,
1028,1028,Mare de Déu de Lepant (imparell) - Esc. F. Siurana,,4367757.724,726913.853,,,0,
1029,1029,Vicent Puchol - Font de Bonet,,4367435.072,726877.702,,,0,
1030,1030,Crist del Refugi - Davant Sant Agustí,,4367200.126,726906.174,,,0,
1032,1032,Tírig - Guàrdia Civil,,4373621.9,727134.007,,,0,
1035,1035,Aragó - Finlàndia,,4372357.349,727211.626,,,0,
1036,1036,Uruguai - Veneçuela,,4370588.712,724814.13,,,0,
1038,1038,Arxiduc Carles (imparell) - Tres Forques,,4371443.232,723984.759,,,0,
1039,1039,Ernest Ferrer - Aragó,,4372531.034,727350.354,,,0,
1041,1041,Plaça d'Espanya,,4371764.019,725195.021,,,0,
1042,1042,Regne de València - Ciscar,,4371461.031,726851.35,,,0,
1044,1044,Poliesportiu de Burjassot,,4376308.866,722135.007,,,0,
1050,1050,Mediterrània - Vicent Brull,,4372087.375,729539.815,,,0,
1052,1052,Eugènia Viñes - Mare de Déu del Sufragi,,4372004.909,730090.35,,,0,
1054,1054,Aragó - Saragossa,,4372112.402,727104.081,,,0,
1055,1055,Aragó - Ernest Ferrer,,4372582.617,727355.834,,,0,
1057,1057,Estadi de Mestalla,,4372834.922,727444.367,,,0,
1060,1060,Pere Cabanes - Mont Carmel,,4375052.103,725915.428,,,0,
1061,1061,Pere Cabanes - Sant Doménec Savio,,4374997.078,725698.115,,,0,
1062,1062,Pere Cabanes - Bisbe Laguarda,,4374905.938,725403.439,,,0,
1067,1067,Equador - Pintor Matarana,,4375074.905,724193.889,,,0,
1080,1080,Sant Vicent de Paül - Peníscola,,4374553.414,726119.689,,,0,
1083,1083,Aragó,,4372578.4,727276.222,,,0,
1085,1085,Aragó - Xile,,4372285.722,727244.328,,,0,
1091,1091,Malilla (parell) - Bernat Descoll,,4370047.781,725499.184,,,0,
1096,1096,Ramon Llull - Bernat Fenollar,,4373073.313,728257.03,,,0,
11,11,Dr. Lluch,,4372276.953,729854.969,,,0,
1109,1109,Tomàs Montañana (imparell) - Astúries,,4371537.965,727814.982,,,0,
1110,1110,Dr. Manuel Candela (parell) - Port,,4371837.883,727889.724,,,0,
1111,1111,Dr. Manuel Candela (parell) - Sants Just i Pastor,,4372330.68,728034.123,,,0,
1114,1114,Ramon Llull - García Donato,,4373051.823,728205.064,,,0,
1116,1116,Dr. Manuel Candela (imparell) - Blasco Ibáñez,,4372617.6,728085.089,,,0,
1117,1117,Dr. Manuel Candela - Sants Just i Pastor,,4372342.546,728003.085,,,0,
1118,1118,Dr. Manuel Candela (imparell) - Rodríguez de Cepeda,,4372106.572,727940.362,,,0,
1119,1119,Dr. Manuel Candela (imparell) - Port,,4371830.059,727861.986,,,0,
112,112,Ramon Llull - Leandro de Saralegui,,4372872.836,728152.193,,,0,
1120,1120,Tomàs Montañana (parell) - Astúries,,4371572.104,727780.391,,,0,
1125,1125,Comte de Torrefiel - Mestre Marçal,,4374803.33,725651.392,,,0,
1126,1126,Comte de Torrefiel - Josep Esteve,,4375086.695,725567.798,,,0,
1127,1127,Comte de Torrefiel - Riu Bidasoa,,4375317.747,725526.27,,,0,
1128,1128,Mercat de Torrefiel,,4375322.757,725610.694,,,0,
1129,1129,Sant Doménec Savio - Josep Esteve,,4375111.839,725678.649,,,0,
113,113,Blasco Ibáñez - Ramon Llull,,4372770.199,728068.896,,,0,
1130,1130,Pere Patrici Mey - Felip Rinaldi,,4374718.561,725554.743,,,0,
