"Timestamp","How frequently do you utilize Valencia's bus service?","How would you rate the punctuality of buses in Valencia?","How would you rate the accessibility of bus stops in Valencia?","How would you rate the frequency of bus services in Valencia?","How would you rate the average travel time between different locations in Valencia when using the city's bus services?","How would you rate the availability of night transport in Valencia?","How would you rate the information provided by EMT to its users (application, information at the bus stops)?","What is your current residential neighborhood?","How would you rate the quality of bus connection between this crucial points in Valencia? [Ciudad de las Artes y las Ciencias <--> Beach]","How would you rate the quality of bus connection between this crucial points in Valencia? [Ciudad de las Artes y las Ciencias <--> Old Town]","How would you rate the quality of bus connection between this crucial points in Valencia? [Ciudad de las Artes y las Ciencias <--> Location of your stay]","How would you rate the quality of bus connection between this crucial points in Valencia? [Beach <--> Old Town]","How would you rate the quality of bus connection between this crucial points in Valencia? [Beach <--> Location of your stay]","How would you rate the quality of bus connection between this crucial points in Valencia? [Old Town  <--> Location of your stay]","Additional Comments"
"2024/04/13 2:20:17 pm EET","2-4 times a week","2","5","3","1","1","2","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","3","4","4","2","I don't know / Not applicable","2","I think that the most important factor to be changed is the information about the delays provided to the users via application or something similar to it. Moreover, creating more night connections, which will make it easier to come back from the parties"
"2024/04/13 2:38:08 pm EET","2-4 times a week","2","5","4","1","2","2","Quatre Carreres - (Monteolivete, En Corts, Malilla, Fuente de San Luis, Na Rovella, La Punta, Ciudad de las Artes y las Ciencias)","I don't know / Not applicable","2","5","I don't know / Not applicable","4","4","take so much time, stops everywhere, full bus"
"2024/04/13 2:47:59 pm EET","Occasionally","2","4","2","2","1","1","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","4","I don't know / Not applicable","4","I don't know / Not applicable","4","I don't know / Not applicable","It would be better to have an actual plan and not ""every x minutes"""
"2024/04/13 2:49:08 pm EET","2-4 times a week","3","5","2","1","3","2","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","2","5","3","5","5","5",""
"2024/04/13 2:57:00 pm EET","2-4 times a week","2","4","2","2","1","1","Benimaclet - (Benimaclet, Camino de Vera)","2","5","5","3","I don't know / Not applicable","I don't know / Not applicable","That they are not punctual. And the app with the time tables never works "
"2024/04/13 2:57:52 pm EET","On a daily basis","4","4","1","4","1","3","Eixample - (Ruzafa, Pla del Remei, Gran Vía)","I don't know / Not applicable","I don't know / Not applicable","4","3","4","3","Not every bus stop has a screen that shows when the bus comes. They might have a QR code that doesn’t work."
"2024/04/13 2:59:06 pm EET","On a daily basis","5","4","4","2","1","1","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","5","3","3","2","5","1","No night transport"
"2024/04/13 3:05:30 pm EET","2-4 times a week","4","5","4","3","1","1","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","3","2","3","3","I don't know / Not applicable","3",""
"2024/04/13 3:05:48 pm EET","On a daily basis","3","4","3","2","1","2","Poblados Marítimos - (El Grao, Cabañal-Cañamelar, Malvarrosa, Beteró, Nazaret)","3","I don't know / Not applicable","4","3","I don't know / Not applicable","2",""
"2024/04/13 3:06:11 pm EET","On a daily basis","4","4","3","2","2","1","El Pla del Real - (Exposició, Mestalla, Jaume Roig, Ciutat Universitària)","I don't know / Not applicable","I don't know / Not applicable","3","1","3","4",""
"2024/04/13 3:11:13 pm EET","2-4 times a week","3","3","3","3","2","3","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","I don't know / Not applicable","3","4","4","5","5",""
"2024/04/13 3:11:35 pm EET","On a daily basis","4","5","3","4","1","3","El Pla del Real - (Exposició, Mestalla, Jaume Roig, Ciutat Universitària)","2","4","2","4","4","5",""
"2024/04/13 3:12:56 pm EET","2-4 times a week","3","4","3","4","4","1","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","3","2","3","3","3","3",""
"2024/04/13 3:26:56 pm EET","On a daily basis","2","5","2","2","1","3","Benicalap - (Benicalap, Ciutat Fallera)","I don't know / Not applicable","I don't know / Not applicable","3","I don't know / Not applicable","2","4","The biggest problem for me was the absence of night connections "
"2024/04/13 3:27:54 pm EET","On a daily basis","4","3","4","2","2","3","Eixample - (Ruzafa, Pla del Remei, Gran Vía)","4","3","3","2","3","2",""
"2024/04/13 3:29:11 pm EET","2-4 times a week","2","4","4","1","1","2","Ciutat Vella - (La Seu, La Xerea, El Carmen, El Pilar (Velluters), El Mercat, San Francisco)","3","4","4","2","2","I don't know / Not applicable",""
"2024/04/13 3:30:21 pm EET","On a daily basis","2","5","2","3","1","3","Algirós - (L'Illa Perduda, Ciutat Jardí, L'Amistat, La Bega Baixa, La Carrasca)","4","2","3","3","4","4",""
"2024/04/13 3:32:53 pm EET","2-4 times a week","3","4","4","4","4","2","Extramurs - (El Botànic, La Roqueta, La Petxina, Arrancapins)","4","5","5","4","4","4",""
"2024/04/13 3:34:36 pm EET","2-4 times a week","5","4","2","5","1","1","Camins al Grau - (Ayora, Albors, La Creu del Grau, Camí Fondo, Penya-Roja)","4","4","5","2","3","3","There are no busses at night and the gap between one bus and the other is too much. For the night ones, the time on the the applications doesn't coincide with the on the real one"
